Country Name,Country Code,Indicator Name,Indicator Code,1970,1975,1980,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP per capita (current US$),GDPPCAPCD,,,,,6472.502029,7885.796545,9764.789979,11392.45581,12307.31174,13496.00314,14046.50376,14936.82722,16241.04652,16439.35636,16586.06844,17927.74964,19078.34319,19356.20339,20620.70063,20669.03197,20436.88713,20833.76161,22569.97499,23300.03956,24045.27248,25835.13267,27084.70369,24630.45371,23512.6026,24985.99328,24713.69805,26189.43551,26647.9381,27980.8807,28281.35048,29007.693,,,
Afghanistan,AFG,GDP per capita (current US$),GDPPCAPCD,156.5189394,186.5108971,272.6552857,,,,,,,,,,,,,,,,,,179.426611,190.6838143,211.3821169,242.0312849,263.7336917,359.6932375,364.6607448,438.0760344,543.3030419,591.162759,641.8714792,637.1655232,613.8566892,578.4663529,509.2186613,519.8847731,493.7504181,507.1034319,
Angola,AGO,GDP per capita (current US$),GDPPCAPCD,,,710.9816481,758.2375762,685.2700853,756.261853,792.3031202,890.5541365,947.7041821,865.6927296,656.361756,441.2006733,328.6732947,397.1794508,522.6438073,514.2952232,423.5936602,387.784316,556.8363181,527.3335285,872.4944916,982.9608993,1255.564045,1902.422346,2599.566464,3121.995637,4080.94141,3122.780766,3587.883798,4615.468028,5100.095808,5254.882338,5408.410496,4166.979684,3506.072885,4095.812942,3289.646664,2790.726615,
Albania,ALB,GDP per capita (current US$),GDPPCAPCD,,,,639.8659094,693.8734746,674.7933831,652.7743214,697.9955966,617.2304355,336.5869945,200.8522198,367.2792251,586.4163396,750.6044492,1009.977668,717.3805674,813.7902636,1033.241693,1126.683318,1281.659393,1425.124849,1846.118813,2373.579844,2673.787283,2972.743265,3595.037163,4370.540127,4114.140114,4094.350334,4437.142885,4247.629984,4413.060861,4578.631994,3952.801215,4124.055726,4531.020806,5284.380184,5353.244856,
Andorra,AND,GDP per capita (current US$),GDPPCAPCD,3238.55685,7169.101006,12377.41165,7774.393829,10361.81598,12616.16757,14304.35696,15166.43785,18878.50597,19532.54015,20547.71179,16516.47103,16234.80901,18461.06486,19017.17459,18353.05972,18894.5215,19261.7105,21854.2468,22971.53554,25066.88221,32271.9639,37969.17499,40066.25692,42675.81276,47803.69361,48718.49687,43503.18552,40852.66678,43335.32886,38686.46126,39538.76672,41303.92937,35762.52307,37474.66541,38962.88035,41793.05526,40886.39116,
Arab World,ARB,GDP per capita (current US$),GDPPCAPCD,262.8662814,836.2082738,2052.955822,1606.755827,1489.840237,1543.513228,1476.041204,1505.504906,2009.415136,1929.613431,2027.828857,1996.922366,1989.456167,2072.744553,2235.934176,2319.002182,2188.903627,2331.915276,2605.633263,2506.367538,2466.639349,2726.842138,3134.840632,3765.918161,4360.335052,4963.22471,6149.511489,5180.581491,5926.712963,6867.600192,7466.811811,7522.595344,7461.54515,6400.36035,6112.105953,6108.58822,6601.825189,6584.740241,
United Arab Emirates,ARE,GDP per capita (current US$),GDPPCAPCD,,26847.79438,42764.45666,29720.91947,23467.97667,23726.15233,22295.14611,24028.19288,27729.46642,26612.33554,26420.87275,25596.69227,25847.92612,27222.03586,28975.0229,29512.66374,26899.60177,28470.83786,33291.41937,31280.78428,31567.47371,33499.09375,36333.24984,39365.4339,41907.40566,41809.51638,44498.93423,32024.1816,33893.30351,39194.67662,40976.49971,42412.63028,43751.83889,38663.38381,38141.84676,40644.80404,43839.35635,43103.32306,
Argentina,ARG,GDP per capita (current US$),GDPPCAPCD,1322.590804,2027.337124,2758.835212,2926.12697,3613.621709,3562.875602,3985.19121,2383.867693,4333.482973,5735.360327,6823.537616,6969.118088,7483.139682,7408.708238,7721.354543,8213.1272,8289.505729,7774.736203,7708.100996,7208.371567,2593.40415,3349.806124,4277.721351,5109.851325,5919.012037,7245.448317,9020.873098,8225.137176,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11633.49801,9912.281809,
Armenia,ARM,GDP per capita (current US$),GDPPCAPCD,,,,,,,,,637.8546595,590.1210473,369.6326166,357.2032777,400.5152381,456.3750487,504.0585594,523.283068,609.1724375,597.4325147,622.7421391,694.4232277,783.2406986,930.1273219,1191.91902,1643.753029,2158.143697,3139.277499,4010.857243,2994.342544,3218.372707,3525.804747,3681.857456,3838.185801,3986.231624,3607.296697,3591.829276,3914.501268,4220.490277,4622.733493,
American Samoa,ASM,GDP per capita (current US$),GDPPCAPCD,,,,,,,,,,,,,,,,,,,,,8700.067705,8856.547459,8578.944723,8444.9817,8391.561067,8909.449156,9792.666806,11961.25823,10271.22452,10294.30227,11568.793,11505.39371,11507.23235,11843.33118,11696.95556,10823.4448,11466.69071,,
Antigua and Barbuda,ATG,GDP per capita (current US$),GDPPCAPCD,,,2124.481155,3899.328728,4703.179401,5463.241276,6453.477,7076.422212,7348.233917,7601.865441,7744.280087,8136.188547,8770.752182,8406.603779,9030.961048,9492.057884,9940.17343,10260.59941,10871.00571,10367.31961,10401.44941,10799.44888,11448.53652,12557.08541,13997.66593,15623.25065,16043.54217,14160.07228,13049.25705,12746.20502,13272.44133,12909.74418,13501.58092,14286.09316,15197.61746,15383.41519,16672.74424,17112.82113,
Australia,AUS,GDP per capita (current US$),GDPPCAPCD,3299.843207,6994.308218,10194.39454,11437.71314,11364.23946,11624.62096,14254.51356,17798.55637,18211.50006,18821.79526,18570.12046,17634.53475,18046.13648,20319.63063,21861.32551,23468.59683,21318.96417,20533.03506,21679.24784,19490.86111,20082.48327,23447.031,30430.67644,33999.24286,36044.92281,40960.05449,49601.65671,42772.35917,52022.1256,62517.83375,68012.1479,68150.10704,62510.79117,56755.72171,49971.13146,54027.96682,57354.96405,55060.3261,
